Type,X,Y,Service Time,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,668807.6180072593,1207736.843743702,0,,,,,,2700.0,180.0
1,692154.6686010888,1192598.570701069,15,,,,,,,
1,692186.897461607,1192604.950525035,15,,,,,,,
1,692181.0220464908,1192611.0142359724,15,,,,,,,
1,689311.277374102,1193314.1856210686,15,,,,,,,
1,689302.811012871,1193289.250471344,15,,,,,,,
1,689691.4499758559,1194270.4380493637,15,,,,,,,
1,689104.4754414645,1195943.027244385,15,,,,,,,
1,689383.1455478844,1201738.2902063797,15,,,,,,,
1,691928.9282245911,1193132.9574436878,15,,,,,,,
1,694672.4097933033,1193344.9986561255,15,,,,,,,
1,692179.875203657,1192620.2622280903,15,,,,,,,
2,691650.9474459956,1192274.3721248643,5,0,660,4,1.0,9999,,
3,690207.370857027,1197901.9713350832,5,0,660,2,1.0,720,,
2,689339.5661043532,1192755.1077760963,5,0,660,3,1.0,9999,,
2,689019.7774460791,1196374.4713296,5,0,660,1,1.0,9999,,
2,696742.7408136871,1191270.371662987,5,0,660,3,1.0,9999,,
2,687646.2001740464,1193510.5923643091,5,0,660,2,1.0,9999,,
2,694678.8729550088,1195668.6568614088,5,0,660,1,1.0,9999,,
2,692236.443421473,1194195.6947192983,5,0,660,1,1.0,9999,,
2,691346.830535014,1196322.3823458308,5,0,660,2,1.0,9999,,
2,688217.3777784149,1204006.7568325049,5,0,660,1,1.0,9999,,
2,694046.0220097387,1191084.1331165459,5,0,660,4,1.0,9999,,
2,681771.9176486342,1193588.5132507915,5,0,660,1,1.0,9999,,
2,691985.3813398252,1192653.2894738144,5,0,660,4,1.0,9999,,
2,694059.1251476512,1193917.3183017285,5,0,660,1,1.0,9999,,
2,690615.3893701653,1192308.4849923735,5,0,660,2,1.0,9999,,
2,691429.4805564242,1193578.198872767,5,0,660,4,1.0,9999,,
2,689997.935037256,1193897.5978976313,5,0,660,3,1.0,9999,,
2,691958.4257811026,1196591.235135812,5,0,660,5,1.0,9999,,
2,692714.6924950075,1200265.9151399913,5,0,660,2,1.0,9999,,
2,691518.193160683,1191498.4607844732,5,0,660,5,1.0,9999,,
3,696313.7262901999,1187154.2091223802,5,0,660,4,1.0,720,,
2,695829.0776213176,1191622.9791464184,5,0,660,4,1.0,9999,,
2,689013.7989480662,1195960.331466609,5,0,660,3,1.0,9999,,
2,688743.6739631377,1199215.509054621,5,0,660,4,1.0,9999,,
2,696614.5806782313,1194676.690123271,5,0,660,1,1.0,9999,,
2,690768.6589978485,1189925.3830642838,5,0,660,2,1.0,9999,,
2,684925.671878168,1198347.1593239575,5,0,660,1,1.0,9999,,
2,692795.0744743973,1195896.773229947,5,0,660,5,1.0,9999,,
2,697242.3588519203,1196137.1319841247,5,0,660,3,1.0,9999,,
2,688176.3918617513,1194670.820935844,5,0,660,4,1.0,9999,,
2,693559.0497708268,1193445.9589222758,5,0,660,5,1.0,9999,,
2,684762.9407947413,1193674.5897423718,5,0,660,3,1.0,9999,,
2,692335.363153157,1195465.0637816747,5,0,660,2,1.0,9999,,
2,689217.9615107946,1190743.4754837642,5,0,660,3,1.0,9999,,
2,692634.8756673561,1194989.9079400103,5,0,660,2,1.0,9999,,
2,688247.3999023023,1196405.6398087784,5,0,660,2,1.0,9999,,
2,689306.8401915214,1194224.6543741892,5,0,660,1,1.0,9999,,
2,686299.1287195878,1200680.3295464544,5,0,660,5,1.0,9999,,
2,690684.0731078266,1191935.8684835641,5,0,660,4,1.0,9999,,
2,690702.7894047637,1194240.4380203255,5,0,660,3,1.0,9999,,
2,691182.3654992795,1201307.0085110979,5,0,660,3,1.0,9999,,
3,691067.8926694291,1194949.9126344656,5,0,660,4,1.0,840,,
2,689427.5476085731,1194029.1099029467,5,0,660,3,1.0,9999,,
2,689026.7351584863,1190793.6049420906,5,0,660,5,1.0,9999,,
2,697727.3968196452,1195091.290776847,5,0,660,5,1.0,9999,,
2,690419.8910158237,1200508.8219375452,5,0,660,2,1.0,9999,,
2,691098.3974661008,1194462.0590849915,5,0,660,1,1.0,9999,,
2,689768.1094976752,1194127.033811339,5,0,660,3,1.0,9999,,
3,693910.958041396,1188680.1791038036,5,0,660,5,1.0,720,,
2,695181.1277961786,1192736.8355516947,5,0,660,1,1.0,9999,,
2,690069.0763171547,1203761.446291378,5,0,660,2,1.0,9999,,
2,693727.6691571837,1191601.2231038501,5,0,660,2,1.0,9999,,
2,689175.1494794061,1190683.2089984796,5,0,660,3,1.0,9999,,
3,691070.0723558741,1193343.0734663021,5,0,660,3,1.0,840,,
2,688456.7697626601,1195400.8353048754,5,0,660,1,1.0,9999,,
3,690825.4862949381,1194517.0184345662,5,0,660,4,1.0,720,,
3,692971.2800408346,1191397.3191889424,5,0,660,3,1.0,840,,
2,690467.3591681375,1191960.2791655087,5,0,660,3,1.0,9999,,
2,696312.4951797636,1196805.858333486,5,0,660,2,1.0,9999,,
2,690745.0327333021,1190909.5375601694,5,0,660,4,1.0,9999,,
2,691592.6635163054,1193321.73989747,5,0,660,2,1.0,9999,,
2,690382.9193793301,1196094.5119994585,5,0,660,2,1.0,9999,,
2,691363.9025183045,1191124.9772215947,5,0,660,4,1.0,9999,,
3,689060.1681097118,1193687.6091546058,5,0,660,3,1.0,840,,
2,687345.5962579151,1191931.2319836798,5,0,660,5,1.0,9999,,
3,688113.5711719145,1194550.486792035,5,0,660,2,1.0,840,,
2,686238.6321797943,1193497.447714812,5,0,660,2,1.0,9999,,
2,693150.3596142072,1191359.1597835247,5,0,660,4,1.0,9999,,
2,692284.8466608506,1191753.1850240892,5,0,660,3,1.0,9999,,
2,691442.2446562005,1192553.451161572,5,0,660,4,1.0,9999,,
2,688047.7497540752,1188390.2061474386,5,0,660,5,1.0,9999,,
3,688226.9770013024,1194282.7609159139,5,0,660,1,1.0,720,,
2,690198.3735676846,1193616.8479847426,5,0,660,4,1.0,9999,,
3,695007.1732889796,1192296.7194192184,5,0,660,5,1.0,840,,
2,696348.9222848588,1187497.1545994657,5,0,660,1,1.0,9999,,
2,693415.7136730071,1190952.8868684638,5,0,660,2,1.0,9999,,
3,690227.0066700242,1196947.9974327201,5,0,660,3,1.0,840,,
2,689262.2223857618,1192403.7862273154,5,0,660,3,1.0,9999,,
2,686216.6527727147,1200737.6711742298,5,0,660,4,1.0,9999,,
2,692514.0829135786,1194802.9824378097,5,0,660,2,1.0,9999,,
2,691694.3349087687,1202636.3726654756,5,0,660,3,1.0,9999,,
3,697429.6022295263,1195210.6221340941,5,0,660,2,1.0,840,,
2,694915.097208638,1194004.1190612398,5,0,660,4,1.0,9999,,
3,696512.8567311332,1194239.9673721138,5,0,660,3,1.0,840,,
2,697022.8615707208,1191028.0435787877,5,0,660,5,1.0,9999,,
2,686837.4257767709,1202843.1818005184,5,0,660,1,1.0,9999,,
2,692973.0211958025,1190979.6445022302,5,0,660,4,1.0,9999,,
2,695397.7075175942,1193819.5565880025,5,0,660,3,1.0,9999,,
2,684449.5048071649,1195923.537281692,5,0,660,4,1.0,9999,,
3,690184.2614805946,1193262.6865665833,5,0,660,3,1.0,720,,
2,688900.6293322073,1195448.6758311337,5,0,660,3,1.0,9999,,
3,691083.2995437587,1192341.6692130854,5,0,660,4,1.0,840,,
2,689725.7297712094,1192179.9000173185,5,0,660,3,1.0,9999,,
2,688819.0135845627,1193223.208580827,5,0,660,3,1.0,9999,,
2,693386.15656916,1198130.868826945,5,0,660,4,1.0,9999,,
2,688687.8451174309,1204876.0415160505,5,0,660,4,1.0,9999,,
2,687583.7218657141,1194352.8282568804,5,0,660,4,1.0,9999,,
2,690426.196669282,1201835.9344582492,5,0,660,5,1.0,9999,,
3,692621.8905115334,1191054.7967511392,5,0,660,5,1.0,720,,
2,689010.2790404502,1191121.996036772,5,0,660,4,1.0,9999,,
3,688673.1356824237,1202717.3732238433,5,0,660,2,1.0,720,,
2,695119.2864404991,1201581.523403126,5,0,660,3,1.0,9999,,
2,689176.710001544,1193303.184799662,5,0,660,1,1.0,9999,,
2,688642.9454530979,1196231.4845189005,5,0,660,2,1.0,9999,,
3,698147.7225287075,1193967.1895726959,5,0,660,5,1.0,840,,
2,687658.2280262967,1197198.6213927476,5,0,660,3,1.0,9999,,
2,693853.8707854475,1193511.948432515,5,0,660,4,1.0,9999,,
2,689016.2571900134,1196196.7381037064,5,0,660,3,1.0,9999,,
2,696581.134335762,1194209.6586692948,5,0,660,4,1.0,9999,,
2,693284.1720449651,1194517.9695979627,5,0,660,3,1.0,9999,,
2,691144.0383082958,1191477.812452558,5,0,660,1,1.0,9999,,
2,686743.1974260858,1194749.7318385625,5,0,660,3,1.0,9999,,
2,692320.6796412563,1187461.0174865327,5,0,660,3,1.0,9999,,
2,689566.9319978711,1192992.2998956742,5,0,660,3,1.0,9999,,
2,687889.7037117814,1193252.9360126436,5,0,660,5,1.0,9999,,
3,694036.055916044,1191259.4741556332,5,0,660,3,1.0,840,,
2,688566.3129837199,1197060.2625330167,5,0,660,1,1.0,9999,,
3,690513.1533410628,1197783.1862106216,5,0,660,3,1.0,720,,
2,691758.5658982717,1188908.5175974688,5,0,660,5,1.0,9999,,
3,687706.8536641818,1198149.904074709,5,0,660,2,1.0,720,,
2,698639.0402122032,1193604.4775755466,5,0,660,2,1.0,9999,,
2,689254.0050513459,1200869.6680598164,5,0,660,1,1.0,9999,,
2,691298.9632969184,1201244.2038918757,5,0,660,3,1.0,9999,,
2,686351.2069535054,1196598.0531315175,5,0,660,3,1.0,9999,,
2,689377.738759113,1206405.4888898772,5,0,660,1,1.0,9999,,
2,693515.5638407965,1191625.1106244866,5,0,660,2,1.0,9999,,
2,693295.0310385136,1195475.809582944,5,0,660,5,1.0,9999,,
2,693766.6353446073,1197474.5211452486,5,0,660,3,1.0,9999,,
2,691824.6502592127,1196645.3453827687,5,0,660,5,1.0,9999,,
2,693875.6883369972,1188383.0655552112,5,0,660,2,1.0,9999,,
2,686344.4491273109,1197303.0359957644,5,0,660,3,1.0,9999,,
3,692455.196889945,1196922.943816701,5,0,660,3,1.0,840,,
2,690581.2054583154,1195451.5399831038,5,0,660,3,1.0,9999,,
2,694065.17750614,1192820.2720586997,15,0,240,48,1.0,9999,,
3,692669.5497047687,1192857.8193696442,15,0,240,43,1.0,420,,
3,688069.9076500792,1192401.9491260974,15,0,240,43,1.0,420,,
3,689141.4439079278,1194537.2748921982,15,0,240,40,1.0,540,,
2,692712.2411998705,1190433.328876436,15,0,240,45,1.0,9999,,
3,691595.2145573754,1193686.8728058536,15,0,240,45,1.0,420,,
3,693684.0321126212,1202517.6810626292,15,0,240,36,1.0,540,,
3,691891.6726689838,1192178.9842351677,15,0,240,42,1.0,540,,
3,687270.0282955018,1191658.3817314494,15,0,240,56,1.0,420,,
2,690272.126398948,1193864.102949895,10,240,360,22,1.0,9999,,
2,689012.5198827442,1192938.8626989524,10,240,360,13,1.0,9999,,
2,693980.4459865305,1190700.1459673338,10,240,360,17,1.0,9999,,
2,694783.5438794456,1190979.6523311764,10,240,360,21,1.0,9999,,
2,691818.5280996542,1192608.114003853,10,240,360,20,1.0,9999,,
2,689447.7107019434,1197345.0726084374,10,240,360,18,1.0,9999,,
2,692123.2579594493,1192364.066184961,10,240,360,16,1.0,9999,,
2,688091.098379181,1192020.069468399,10,240,360,17,1.0,9999,,
2,694898.4817733512,1197560.0131098705,10,240,360,22,1.0,9999,,
2,689973.0289824777,1206950.8160722293,10,240,360,16,1.0,9999,,
2,692605.1780550317,1198575.1910592068,10,240,360,17,1.0,9999,,
2,685287.9404503651,1188921.3736503322,10,240,360,17,1.0,9999,,
2,687619.6353693454,1191009.6142800702,10,240,360,17,1.0,9999,,
2,688800.9594565113,1192135.627962826,10,240,360,17,1.0,9999,,
2,689074.5757536157,1194025.3931824595,10,240,360,16,1.0,9999,,
2,687797.1363124006,1193624.5132024847,10,240,360,13,1.0,9999,,
2,690094.2119944876,1193143.3671638528,10,240,360,18,1.0,9999,,
2,689216.5969876068,1197980.8385100586,10,240,360,14,1.0,9999,,
2,691295.7493712488,1194590.435652205,10,240,360,19,1.0,9999,,
3,693047.4322459535,1192844.7380154836,10,240,360,19,1.0,420,,
2,692885.7343695196,1194377.3636531897,10,240,360,16,1.0,9999,,
2,695821.4544795901,1192286.7459397735,10,240,360,17,1.0,9999,,
2,693805.3010599721,1191711.19960456,10,240,360,16,1.0,9999,,
2,688371.9979278417,1201361.545684011,8,360,660,6,1.0,9999,,
2,684144.4952607789,1191991.3352390854,8,360,660,13,1.0,9999,,
2,696149.7184428433,1195935.3163148237,8,360,660,9,1.0,9999,,
2,689282.7455581311,1193517.347236694,8,360,660,8,1.0,9999,,
2,696054.5215446813,1194076.8151102434,8,360,660,12,1.0,9999,,
2,688712.0118626314,1196916.506818157,8,360,660,13,1.0,9999,,
2,691725.6287228503,1193773.6491744136,8,360,660,7,1.0,9999,,
3,685623.4252758236,1193711.171296709,8,360,660,8,1.0,780,,
2,689643.646835295,1189456.7681927516,8,360,660,14,1.0,9999,,
