Type,X,Y,Service Time,Early,Latest,Demand,Origin/Dest,Deadline,FE Cap,SE Cap
0,668807.6180072593,1207736.843743702,0,,,,,,750.0,160.0
1,677468.3662555144,1188420.7173593563,15,,,,,,,
1,669900.3071934255,1196622.4096657275,15,,,,,,,
1,676014.1374615361,1196553.345879614,15,,,,,,,
1,673588.6100369949,1215215.168531446,15,,,,,,,
1,671115.4648909788,1194829.351223267,15,,,,,,,
1,683064.6893095834,1187126.652976613,15,,,,,,,
1,672509.9887080961,1193509.517272696,15,,,,,,,
1,677347.1342785412,1193583.1559846578,15,,,,,,,
1,675806.574341068,1197845.3013134582,15,,,,,,,
1,678616.4793448355,1197749.8101625734,15,,,,,,,
3,674099.3121944284,1212646.8358758034,5,0,660,1,1.0,840,,
2,679986.1028060862,1194127.9124408732,5,0,660,2,1.0,9999,,
3,673916.3357922188,1190736.50407423,5,0,660,4,1.0,840,,
3,674217.1175949973,1210645.4346389363,5,0,660,3,1.0,720,,
3,674309.26266326,1195015.0221034929,5,0,660,4,1.0,840,,
2,670927.6541225745,1190964.4561193855,5,0,660,2,1.0,9999,,
2,675206.324532195,1194114.9123471219,5,0,660,5,1.0,9999,,
2,673169.1993751725,1213893.6943736149,5,0,660,2,1.0,9999,,
3,674514.2844298428,1190198.672495827,5,0,660,3,1.0,840,,
2,678244.8578645809,1187912.3600889202,5,0,660,4,1.0,9999,,
3,680640.1428251988,1187930.3343818474,5,0,660,5,1.0,720,,
2,671197.8417871348,1193613.7529719493,5,0,660,4,1.0,9999,,
3,669078.1734212209,1196181.0616159306,5,0,660,3,1.0,840,,
2,672224.1985044003,1195783.4578423793,5,0,660,3,1.0,9999,,
3,676797.2577353307,1191747.8343734294,5,0,660,1,1.0,840,,
2,673259.9889019035,1199193.7920502678,5,0,660,2,1.0,9999,,
2,667913.4861649456,1196420.1116978487,5,0,660,4,1.0,9999,,
3,682474.9004432198,1187837.8088765382,5,0,660,3,1.0,840,,
3,676760.7501808762,1192363.8475198648,5,0,660,2,1.0,840,,
3,674759.2868669326,1196021.6479800222,5,0,660,4,1.0,840,,
2,673398.8699737947,1191194.2859356997,5,0,660,4,1.0,9999,,
3,673280.2845481153,1214929.27458574,5,0,660,4,1.0,720,,
3,678582.696761979,1189938.8174623337,5,0,660,4,1.0,840,,
3,673793.9451148675,1213945.1934694971,5,0,660,3,1.0,720,,
3,672868.6827707051,1196078.4728975233,5,0,660,1,1.0,840,,
3,677695.3039499219,1199056.1180574934,5,0,660,3,1.0,720,,
2,671330.735617823,1201743.8706609583,5,0,660,2,1.0,9999,,
3,679708.3562009019,1197514.9556827582,5,0,660,3,1.0,720,,
2,684490.4523280135,1199417.3743003085,5,0,660,2,1.0,9999,,
3,671993.324259912,1195060.3585633622,5,0,660,4,1.0,720,,
3,676396.9287662809,1199128.080673112,5,0,660,3,1.0,840,,
2,672230.9297309477,1195592.8933350523,5,0,660,4,1.0,9999,,
3,681260.0534184847,1192418.0012197052,5,0,660,4,1.0,720,,
2,667761.4906810395,1197265.630323106,5,0,660,4,1.0,9999,,
3,672092.4934246474,1195585.880608755,5,0,660,4,1.0,720,,
3,675801.8711509884,1188417.970117435,5,0,660,4,1.0,840,,
2,670573.5820337189,1192034.595565614,5,0,660,4,1.0,9999,,
2,677008.1883832489,1198684.978872714,5,0,660,4,1.0,9999,,
3,679924.0368824537,1202734.5971721506,5,0,660,2,1.0,720,,
3,676615.1844913095,1193131.7942537838,5,0,660,3,1.0,720,,
3,680704.8616393954,1197859.9878334089,5,0,660,5,1.0,720,,
3,678233.028930652,1190383.3897317308,5,0,660,3,1.0,840,,
3,671041.7079002606,1198246.0946544239,5,0,660,2,1.0,720,,
3,669979.4972158894,1201684.0235735797,5,0,660,3,1.0,720,,
3,685345.5987299569,1189433.0625590337,5,0,660,3,1.0,720,,
3,674858.5331872054,1217780.1697301425,5,0,660,5,1.0,720,,
2,685643.8562436068,1186895.6744137895,5,0,660,2,1.0,9999,,
3,672296.1925735188,1218412.2795832315,5,0,660,2,1.0,840,,
3,673167.5418908215,1195431.6093529651,5,0,660,2,1.0,840,,
2,678467.2680013153,1193529.365734167,5,0,660,6,1.0,9999,,
3,675492.3361533339,1188185.9241278216,5,0,660,2,1.0,720,,
3,675754.6880143195,1187905.066108476,5,0,660,4,1.0,840,,
3,681487.6011353316,1205745.5413988312,5,0,660,2,1.0,720,,
3,675478.434111592,1196347.1914980698,5,0,660,2,1.0,720,,
2,676050.138491882,1196664.3341589293,5,0,660,1,1.0,9999,,
3,673924.7002604451,1195282.1212612367,5,0,660,2,1.0,720,,
2,672608.2692933788,1192966.8503850198,5,0,660,2,1.0,9999,,
3,670752.7306690929,1196494.6284731985,5,0,660,3,1.0,720,,
2,669739.9377354283,1189998.3726706803,5,0,660,6,1.0,9999,,
2,681915.9702625482,1197151.7064636727,5,0,660,2,1.0,9999,,
3,675090.3546208997,1199582.5170347395,5,0,660,3,1.0,840,,
3,673534.6666095312,1191383.855094019,5,0,660,2,1.0,840,,
3,678833.4071029973,1193790.8114260887,5,0,660,2,1.0,720,,
3,688257.1453134494,1184301.9246385251,5,0,660,2,1.0,840,,
3,667956.3339847357,1191699.7534915463,5,0,660,4,1.0,720,,
2,678473.4864479854,1192043.8525335072,5,0,660,3,1.0,9999,,
3,670151.0580948548,1198006.4829202557,5,0,660,3,1.0,720,,
3,681895.8796525241,1187962.4388223416,5,0,660,3,1.0,840,,
2,665874.5023985802,1191142.8585868166,5,0,660,5,1.0,9999,,
2,672688.1751389244,1191195.2808855907,5,0,660,4,1.0,9999,,
2,676691.0944232732,1187916.0384077756,5,0,660,4,1.0,9999,,
3,670672.9559034128,1201633.3249553076,5,0,660,4,1.0,720,,
