ID,Type,X,Y,Demand,Service Time,Early,Latest,Deadline,FE Cap,SE Cap
0,0,668807,1207736,0.0,0.0,0.0,0.0,0.0,2700.0,180.0
1,1,692154,1192598,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
2,1,692186,1192604,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
3,1,692181,1192611,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
4,1,689311,1193314,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
5,1,689302,1193289,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
6,1,689691,1194270,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
7,1,689104,1195943,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
8,1,689383,1201738,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
9,1,691928,1193132,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
10,1,694672,1193344,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
11,1,692179,1192620,0.0,15.0,0.0,0.0,0.0,2700.0,180.0
12,2,691650,1192274,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
16,2,696742,1191270,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
18,2,694678,1195668,1.0,5.0,0.0,660.0,0.0,2700.0,180.0
19,2,692236,1194195,1.0,5.0,0.0,660.0,0.0,2700.0,180.0
22,2,694046,1191084,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
24,2,691985,1192653,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
25,2,694059,1193917,1.0,5.0,0.0,660.0,0.0,2700.0,180.0
26,2,690615,1192308,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
27,2,691429,1193578,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
31,2,691518,1191498,5.0,5.0,0.0,660.0,0.0,2700.0,180.0
32,3,696313,1187154,4.0,5.0,0.0,660.0,720.0,2700.0,180.0
33,2,695829,1191622,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
36,2,696614,1194676,1.0,5.0,0.0,660.0,0.0,2700.0,180.0
37,2,690768,1189925,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
40,2,697242,1196137,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
42,2,693559,1193445,5.0,5.0,0.0,660.0,0.0,2700.0,180.0
45,2,689217,1190743,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
46,2,692634,1194989,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
50,2,690684,1191935,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
55,2,689026,1190793,5.0,5.0,0.0,660.0,0.0,2700.0,180.0
56,2,697727,1195091,5.0,5.0,0.0,660.0,0.0,2700.0,180.0
60,3,693910,1188680,5.0,5.0,0.0,660.0,720.0,2700.0,180.0
61,2,695181,1192736,1.0,5.0,0.0,660.0,0.0,2700.0,180.0
63,2,693727,1191601,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
64,2,689175,1190683,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
65,3,691070,1193343,3.0,5.0,0.0,660.0,840.0,2700.0,180.0
68,3,692971,1191397,3.0,5.0,0.0,660.0,840.0,2700.0,180.0
69,2,690467,1191960,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
70,2,696312,1196805,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
71,2,690745,1190909,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
72,2,691592,1193321,2.0,5.0,0.0,660.0,0.0,2700.0,180.0
74,2,691363,1191124,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
79,2,693150,1191359,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
80,2,692284,1191753,3.0,5.0,0.0,660.0,0.0,2700.0,180.0
81,2,691442,1192553,4.0,5.0,0.0,660.0,0.0,2700.0,180.0
