ID,Type,X,Y,Demand,Service Time,Early,Latest,Deadline,FE Cap,SE Cap
0,0,668807,1207736,0.0,0.0,0.0,0.0,0.0,750.0,160.0
1,1,680652,1203342,0.0,15.0,0.0,0.0,0.0,750.0,160.0
2,1,678628,1198509,0.0,15.0,0.0,0.0,0.0,750.0,160.0
3,1,681138,1182305,0.0,15.0,0.0,0.0,0.0,750.0,160.0
4,1,676463,1194245,0.0,15.0,0.0,0.0,0.0,750.0,160.0
5,1,678891,1185843,0.0,15.0,0.0,0.0,0.0,750.0,160.0
6,1,676008,1196563,0.0,15.0,0.0,0.0,0.0,750.0,160.0
7,1,678628,1197739,0.0,15.0,0.0,0.0,0.0,750.0,160.0
8,1,677219,1200930,0.0,15.0,0.0,0.0,0.0,750.0,160.0
9,1,682435,1201244,0.0,15.0,0.0,0.0,0.0,750.0,160.0
10,1,689234,1188015,0.0,15.0,0.0,0.0,0.0,750.0,160.0
11,1,692490,1202181,0.0,15.0,0.0,0.0,0.0,750.0,160.0
12,1,677627,1186001,0.0,15.0,0.0,0.0,0.0,750.0,160.0
13,1,679238,1195081,0.0,15.0,0.0,0.0,0.0,750.0,160.0
14,1,682497,1196195,0.0,15.0,0.0,0.0,0.0,750.0,160.0
15,1,679260,1194764,0.0,15.0,0.0,0.0,0.0,750.0,160.0
17,3,681154,1196895,5.0,5.0,0.0,660.0,840.0,750.0,160.0
18,2,682562,1199463,5.0,5.0,0.0,660.0,0.0,750.0,160.0
19,2,676621,1196865,3.0,5.0,0.0,660.0,0.0,750.0,160.0
20,2,678645,1198260,2.0,5.0,0.0,660.0,0.0,750.0,160.0
21,3,685839,1192487,4.0,5.0,0.0,660.0,840.0,750.0,160.0
22,2,681489,1200716,4.0,5.0,0.0,660.0,0.0,750.0,160.0
24,3,683806,1202614,5.0,5.0,0.0,660.0,720.0,750.0,160.0
25,2,684731,1201304,1.0,5.0,0.0,660.0,0.0,750.0,160.0
26,2,675585,1199718,4.0,5.0,0.0,660.0,0.0,750.0,160.0
27,2,678079,1194490,3.0,5.0,0.0,660.0,0.0,750.0,160.0
28,3,675197,1196482,5.0,5.0,0.0,660.0,720.0,750.0,160.0
30,2,678178,1206242,3.0,5.0,0.0,660.0,0.0,750.0,160.0
31,3,675244,1197591,2.0,5.0,0.0,660.0,720.0,750.0,160.0
33,2,680945,1198134,2.0,5.0,0.0,660.0,0.0,750.0,160.0
34,2,691790,1203240,4.0,5.0,0.0,660.0,0.0,750.0,160.0
35,3,683545,1198138,4.0,5.0,0.0,660.0,840.0,750.0,160.0
37,3,678085,1195704,3.0,5.0,0.0,660.0,720.0,750.0,160.0
39,3,678497,1197476,3.0,5.0,0.0,660.0,720.0,750.0,160.0
40,2,674057,1194599,5.0,5.0,0.0,660.0,0.0,750.0,160.0
41,3,676793,1193672,3.0,5.0,0.0,660.0,720.0,750.0,160.0
42,3,694080,1204977,1.0,5.0,0.0,660.0,720.0,750.0,160.0
44,3,680901,1195434,2.0,5.0,0.0,660.0,840.0,750.0,160.0
45,3,675714,1198193,2.0,5.0,0.0,660.0,720.0,750.0,160.0
46,3,676567,1200529,4.0,5.0,0.0,660.0,720.0,750.0,160.0
47,3,678983,1198552,5.0,5.0,0.0,660.0,840.0,750.0,160.0
50,2,677950,1197188,3.0,5.0,0.0,660.0,0.0,750.0,160.0
51,3,682670,1192991,3.0,5.0,0.0,660.0,720.0,750.0,160.0
52,2,675164,1199977,1.0,5.0,0.0,660.0,0.0,750.0,160.0
53,3,685531,1198122,4.0,5.0,0.0,660.0,720.0,750.0,160.0
54,2,700356,1205255,1.0,5.0,0.0,660.0,0.0,750.0,160.0
56,3,671010,1199795,2.0,5.0,0.0,660.0,840.0,750.0,160.0
57,2,678930,1197545,2.0,5.0,0.0,660.0,0.0,750.0,160.0
58,3,690446,1206194,5.0,5.0,0.0,660.0,840.0,750.0,160.0
59,3,679732,1193314,2.0,5.0,0.0,660.0,840.0,750.0,160.0
60,3,677199,1196945,4.0,5.0,0.0,660.0,720.0,750.0,160.0
61,3,677149,1196068,2.0,5.0,0.0,660.0,720.0,750.0,160.0
63,2,682498,1198519,5.0,5.0,0.0,660.0,0.0,750.0,160.0
66,3,689683,1203163,4.0,5.0,0.0,660.0,720.0,750.0,160.0
67,2,680683,1196166,4.0,5.0,0.0,660.0,0.0,750.0,160.0
68,3,680495,1198673,4.0,5.0,0.0,660.0,840.0,750.0,160.0
70,3,673061,1192403,4.0,5.0,0.0,660.0,720.0,750.0,160.0
71,3,684867,1196766,3.0,5.0,0.0,660.0,720.0,750.0,160.0
72,3,682849,1197389,2.0,5.0,0.0,660.0,720.0,750.0,160.0
74,3,680903,1201130,1.0,5.0,0.0,660.0,840.0,750.0,160.0
76,3,683079,1203041,2.0,5.0,0.0,660.0,840.0,750.0,160.0
77,3,671567,1192061,2.0,5.0,0.0,660.0,720.0,750.0,160.0
78,3,679269,1203401,1.0,5.0,0.0,660.0,720.0,750.0,160.0
79,3,679373,1202627,3.0,5.0,0.0,660.0,720.0,750.0,160.0
81,3,680716,1196293,3.0,5.0,0.0,660.0,840.0,750.0,160.0
82,2,680105,1200690,4.0,5.0,0.0,660.0,0.0,750.0,160.0
84,3,677724,1195245,2.0,5.0,0.0,660.0,840.0,750.0,160.0
86,3,678912,1202979,5.0,5.0,0.0,660.0,840.0,750.0,160.0
90,3,678394,1211356,2.0,5.0,0.0,660.0,720.0,750.0,160.0
91,2,678154,1201818,5.0,5.0,0.0,660.0,0.0,750.0,160.0
92,2,673522,1199959,3.0,5.0,0.0,660.0,0.0,750.0,160.0
94,3,675727,1193498,4.0,5.0,0.0,660.0,720.0,750.0,160.0
96,2,677766,1192403,1.0,5.0,0.0,660.0,0.0,750.0,160.0
99,3,678779,1200170,3.0,5.0,0.0,660.0,840.0,750.0,160.0
100,2,678502,1204516,4.0,5.0,0.0,660.0,0.0,750.0,160.0
102,3,682306,1197967,1.0,5.0,0.0,660.0,840.0,750.0,160.0
103,2,693187,1200551,2.0,5.0,0.0,660.0,0.0,750.0,160.0
104,2,681630,1201817,3.0,5.0,0.0,660.0,0.0,750.0,160.0
105,2,680085,1209617,3.0,5.0,0.0,660.0,0.0,750.0,160.0
106,3,676892,1196051,4.0,5.0,0.0,660.0,840.0,750.0,160.0
107,3,680321,1194465,4.0,5.0,0.0,660.0,720.0,750.0,160.0
108,2,677111,1193320,2.0,5.0,0.0,660.0,0.0,750.0,160.0
110,3,681153,1198868,8.0,15.0,0.0,240.0,540.0,750.0,160.0
111,2,679940,1201150,8.0,15.0,0.0,240.0,0.0,750.0,160.0
112,3,672841,1195520,9.0,15.0,0.0,240.0,420.0,750.0,160.0
113,2,675863,1205571,8.0,15.0,0.0,240.0,0.0,750.0,160.0
115,3,680804,1194459,8.0,15.0,0.0,240.0,540.0,750.0,160.0
116,3,681820,1205970,10.0,15.0,0.0,240.0,540.0,750.0,160.0
117,3,675328,1195009,7.0,15.0,0.0,240.0,540.0,750.0,160.0
118,2,678748,1194204,6.0,15.0,0.0,240.0,0.0,750.0,160.0
119,3,684397,1195984,21.0,10.0,180.0,420.0,720.0,750.0,160.0
121,2,682548,1204011,14.0,10.0,180.0,420.0,0.0,750.0,160.0
124,3,680293,1203046,16.0,10.0,180.0,420.0,720.0,750.0,160.0
127,3,678392,1201310,15.0,10.0,180.0,420.0,720.0,750.0,160.0
128,3,675964,1199557,19.0,10.0,180.0,420.0,720.0,750.0,160.0
129,3,684034,1196201,20.0,10.0,180.0,420.0,720.0,750.0,160.0
130,3,680839,1192161,16.0,10.0,180.0,420.0,720.0,750.0,160.0
131,3,678227,1196968,19.0,10.0,180.0,420.0,720.0,750.0,160.0
134,3,678189,1193085,12.0,10.0,180.0,420.0,720.0,750.0,160.0
135,2,675915,1199525,16.0,10.0,180.0,420.0,0.0,750.0,160.0
139,3,682109,1197540,58.0,8.0,480.0,540.0,720.0,750.0,160.0
141,2,672010,1196884,35.0,8.0,480.0,540.0,0.0,750.0,160.0
142,3,678709,1194548,46.0,8.0,480.0,540.0,720.0,750.0,160.0
143,2,677386,1194987,35.0,8.0,480.0,540.0,0.0,750.0,160.0
144,3,676394,1193638,55.0,8.0,480.0,540.0,720.0,750.0,160.0
145,2,682987,1197561,51.0,8.0,480.0,540.0,0.0,750.0,160.0
146,3,678700,1200802,38.0,8.0,480.0,540.0,720.0,750.0,160.0
147,3,682648,1200383,31.0,8.0,480.0,540.0,720.0,750.0,160.0
148,3,674189,1197671,43.0,8.0,480.0,540.0,720.0,750.0,160.0
149,3,677472,1191578,30.0,8.0,480.0,540.0,720.0,750.0,160.0
150,3,679597,1192714,42.0,8.0,480.0,540.0,720.0,750.0,160.0
152,3,675789,1201511,50.0,8.0,480.0,540.0,720.0,750.0,160.0
153,3,691793,1200109,53.0,8.0,480.0,540.0,720.0,750.0,160.0
154,3,678312,1198548,35.0,8.0,480.0,540.0,720.0,750.0,160.0
155,3,691365,1200582,58.0,8.0,480.0,540.0,720.0,750.0,160.0
158,2,679969,1191317,37.0,8.0,480.0,540.0,0.0,750.0,160.0
159,2,678437,1193979,34.0,8.0,480.0,540.0,0.0,750.0,160.0
160,3,696912,1204602,30.0,8.0,480.0,540.0,720.0,750.0,160.0
162,3,679713,1209427,39.0,8.0,480.0,540.0,720.0,750.0,160.0
164,3,685102,1199092,35.0,8.0,480.0,540.0,720.0,750.0,160.0
165,3,684129,1191061,49.0,8.0,480.0,540.0,720.0,750.0,160.0
167,3,682510,1199983,43.0,8.0,480.0,540.0,720.0,750.0,160.0
168,3,683962,1192569,42.0,8.0,480.0,540.0,720.0,750.0,160.0
169,2,677360,1196000,52.0,8.0,480.0,540.0,0.0,750.0,160.0
171,2,681109,1194970,56.0,8.0,480.0,540.0,0.0,750.0,160.0
173,2,670908,1194488,50.0,8.0,480.0,540.0,0.0,750.0,160.0
175,3,676204,1197398,59.0,8.0,480.0,540.0,720.0,750.0,160.0
176,2,678313,1199141,34.0,8.0,480.0,540.0,0.0,750.0,160.0
179,3,680962,1205909,46.0,8.0,480.0,540.0,720.0,750.0,160.0
180,2,683538,1195351,31.0,8.0,480.0,540.0,0.0,750.0,160.0
181,2,694566,1204390,55.0,8.0,480.0,540.0,0.0,750.0,160.0
182,3,681848,1200808,56.0,8.0,480.0,540.0,720.0,750.0,160.0
183,3,677706,1198396,50.0,8.0,480.0,540.0,720.0,750.0,160.0
185,3,676168,1199610,45.0,8.0,480.0,540.0,720.0,750.0,160.0
186,3,676632,1192509,57.0,8.0,480.0,540.0,720.0,750.0,160.0
187,3,674728,1193712,37.0,8.0,480.0,540.0,720.0,750.0,160.0
189,3,680507,1201060,44.0,8.0,480.0,540.0,720.0,750.0,160.0
190,2,681941,1203753,57.0,8.0,480.0,540.0,0.0,750.0,160.0
191,3,677027,1194864,37.0,8.0,480.0,540.0,720.0,750.0,160.0
192,3,680600,1198394,45.0,8.0,480.0,540.0,720.0,750.0,160.0
194,3,678869,1199499,52.0,8.0,480.0,540.0,720.0,750.0,160.0
195,3,692392,1206931,44.0,8.0,480.0,540.0,720.0,750.0,160.0
196,2,676631,1193610,34.0,8.0,480.0,540.0,0.0,750.0,160.0
197,3,675322,1198038,47.0,8.0,480.0,540.0,720.0,750.0,160.0
199,3,681900,1197440,51.0,8.0,480.0,540.0,720.0,750.0,160.0
200,3,689084,1200824,59.0,8.0,480.0,540.0,720.0,750.0,160.0
