ID,Type,X,Y,Demand,Service Time,Early,Latest,Deadline,FE Cap,SE Cap
0,0,668807,1207736,0.0,0.0,0.0,0.0,0.0,750.0,160.0
1,1,677468,1188420,0.0,15.0,0.0,0.0,0.0,750.0,160.0
2,1,669900,1196622,0.0,15.0,0.0,0.0,0.0,750.0,160.0
3,1,676014,1196553,0.0,15.0,0.0,0.0,0.0,750.0,160.0
4,1,673588,1215215,0.0,15.0,0.0,0.0,0.0,750.0,160.0
5,1,671115,1194829,0.0,15.0,0.0,0.0,0.0,750.0,160.0
6,1,683064,1187126,0.0,15.0,0.0,0.0,0.0,750.0,160.0
7,1,672509,1193509,0.0,15.0,0.0,0.0,0.0,750.0,160.0
8,1,677347,1193583,0.0,15.0,0.0,0.0,0.0,750.0,160.0
9,1,675806,1197845,0.0,15.0,0.0,0.0,0.0,750.0,160.0
10,1,678616,1197749,0.0,15.0,0.0,0.0,0.0,750.0,160.0
12,2,679148,1196172,5.0,5.0,0.0,660.0,0.0,750.0,160.0
13,2,683783,1187286,2.0,5.0,0.0,660.0,0.0,750.0,160.0
14,2,677676,1198843,2.0,5.0,0.0,660.0,0.0,750.0,160.0
15,2,683568,1186708,2.0,5.0,0.0,660.0,0.0,750.0,160.0
16,2,678119,1195930,1.0,5.0,0.0,660.0,0.0,750.0,160.0
17,2,678887,1195363,5.0,5.0,0.0,660.0,0.0,750.0,160.0
18,2,675132,1195594,3.0,5.0,0.0,660.0,0.0,750.0,160.0
19,3,669018,1193020,3.0,5.0,0.0,660.0,840.0,750.0,160.0
20,3,671791,1191119,1.0,5.0,0.0,660.0,720.0,750.0,160.0
21,2,670584,1193581,6.0,5.0,0.0,660.0,0.0,750.0,160.0
22,2,672358,1195145,3.0,5.0,0.0,660.0,0.0,750.0,160.0
23,2,676496,1198165,3.0,5.0,0.0,660.0,0.0,750.0,160.0
25,3,672878,1191934,4.0,5.0,0.0,660.0,720.0,750.0,160.0
26,2,670325,1194680,3.0,5.0,0.0,660.0,0.0,750.0,160.0
27,3,673500,1196303,4.0,5.0,0.0,660.0,720.0,750.0,160.0
28,2,671852,1198226,3.0,5.0,0.0,660.0,0.0,750.0,160.0
29,3,677660,1195197,3.0,5.0,0.0,660.0,720.0,750.0,160.0
30,2,678601,1187236,1.0,5.0,0.0,660.0,0.0,750.0,160.0
31,2,684396,1187580,1.0,5.0,0.0,660.0,0.0,750.0,160.0
32,2,677723,1197207,4.0,5.0,0.0,660.0,0.0,750.0,160.0
33,2,672897,1192680,1.0,5.0,0.0,660.0,0.0,750.0,160.0
34,2,676517,1188208,3.0,5.0,0.0,660.0,0.0,750.0,160.0
35,2,668846,1196125,1.0,5.0,0.0,660.0,0.0,750.0,160.0
36,3,678076,1195518,1.0,5.0,0.0,660.0,840.0,750.0,160.0
37,3,677527,1197031,1.0,5.0,0.0,660.0,840.0,750.0,160.0
38,2,671486,1193292,1.0,5.0,0.0,660.0,0.0,750.0,160.0
39,2,682416,1185706,2.0,5.0,0.0,660.0,0.0,750.0,160.0
40,2,679311,1198943,2.0,5.0,0.0,660.0,0.0,750.0,160.0
41,2,677335,1194576,4.0,5.0,0.0,660.0,0.0,750.0,160.0
42,2,678043,1194350,1.0,5.0,0.0,660.0,0.0,750.0,160.0
43,2,682406,1187399,3.0,5.0,0.0,660.0,0.0,750.0,160.0
44,2,677150,1194626,1.0,5.0,0.0,660.0,0.0,750.0,160.0
45,2,676453,1196698,2.0,5.0,0.0,660.0,0.0,750.0,160.0
46,2,682041,1197480,4.0,5.0,0.0,660.0,0.0,750.0,160.0
48,3,669803,1200208,4.0,5.0,0.0,660.0,840.0,750.0,160.0
49,2,676420,1198211,3.0,5.0,0.0,660.0,0.0,750.0,160.0
50,2,671316,1195402,3.0,5.0,0.0,660.0,0.0,750.0,160.0
51,3,681005,1187721,3.0,5.0,0.0,660.0,840.0,750.0,160.0
52,3,678124,1197547,6.0,5.0,0.0,660.0,840.0,750.0,160.0
53,2,684921,1187151,1.0,5.0,0.0,660.0,0.0,750.0,160.0
54,2,677211,1196530,3.0,5.0,0.0,660.0,0.0,750.0,160.0
55,3,677196,1197609,5.0,5.0,0.0,660.0,840.0,750.0,160.0
56,3,674021,1193797,4.0,5.0,0.0,660.0,720.0,750.0,160.0
57,3,677902,1197607,2.0,5.0,0.0,660.0,720.0,750.0,160.0
58,2,674448,1196161,2.0,5.0,0.0,660.0,0.0,750.0,160.0
59,2,681973,1187830,4.0,5.0,0.0,660.0,0.0,750.0,160.0
60,2,672133,1194351,4.0,5.0,0.0,660.0,0.0,750.0,160.0
61,3,677198,1193546,4.0,5.0,0.0,660.0,840.0,750.0,160.0
62,2,674022,1192823,3.0,5.0,0.0,660.0,0.0,750.0,160.0
67,2,670161,1192418,2.0,5.0,0.0,660.0,0.0,750.0,160.0
68,2,667831,1197949,5.0,5.0,0.0,660.0,0.0,750.0,160.0
69,2,670384,1196204,6.0,5.0,0.0,660.0,0.0,750.0,160.0
70,2,677688,1197292,6.0,5.0,0.0,660.0,0.0,750.0,160.0
72,3,679056,1188883,2.0,5.0,0.0,660.0,840.0,750.0,160.0
73,2,668150,1193940,1.0,5.0,0.0,660.0,0.0,750.0,160.0
74,2,678611,1194268,5.0,5.0,0.0,660.0,0.0,750.0,160.0
75,3,670620,1199108,4.0,5.0,0.0,660.0,720.0,750.0,160.0
76,2,670915,1196167,2.0,5.0,0.0,660.0,0.0,750.0,160.0
78,2,675888,1197782,5.0,5.0,0.0,660.0,0.0,750.0,160.0
79,3,678479,1193442,3.0,5.0,0.0,660.0,720.0,750.0,160.0
80,3,670712,1195586,52.0,15.0,0.0,240.0,540.0,750.0,160.0
81,2,670475,1197789,30.0,15.0,0.0,240.0,0.0,750.0,160.0
82,3,678388,1193833,43.0,15.0,0.0,240.0,540.0,750.0,160.0
84,3,670902,1193963,47.0,15.0,0.0,240.0,420.0,750.0,160.0
85,3,679702,1197252,48.0,10.0,240.0,360.0,420.0,750.0,160.0
87,2,684008,1187762,43.0,10.0,240.0,360.0,0.0,750.0,160.0
88,2,682506,1185844,57.0,10.0,240.0,360.0,0.0,750.0,160.0
89,3,670596,1195276,47.0,10.0,240.0,360.0,420.0,750.0,160.0
90,2,672488,1196914,41.0,10.0,240.0,360.0,0.0,750.0,160.0
93,3,674385,1198234,46.0,10.0,240.0,360.0,420.0,750.0,160.0
94,2,673011,1194122,48.0,10.0,240.0,360.0,0.0,750.0,160.0
96,2,668565,1195794,40.0,10.0,240.0,360.0,0.0,750.0,160.0
97,2,672774,1196398,38.0,10.0,240.0,360.0,0.0,750.0,160.0
99,2,671112,1196232,45.0,10.0,240.0,360.0,0.0,750.0,160.0
100,2,676085,1199362,54.0,10.0,240.0,360.0,0.0,750.0,160.0
101,2,673055,1198451,38.0,10.0,240.0,360.0,0.0,750.0,160.0
102,2,679218,1198725,53.0,10.0,240.0,360.0,0.0,750.0,160.0
103,2,677373,1193674,44.0,10.0,240.0,360.0,0.0,750.0,160.0
104,2,681879,1188950,35.0,10.0,240.0,360.0,0.0,750.0,160.0
105,2,685537,1187930,40.0,10.0,240.0,360.0,0.0,750.0,160.0
106,3,677119,1196041,50.0,10.0,240.0,360.0,420.0,750.0,160.0
107,2,668102,1192414,52.0,10.0,240.0,360.0,0.0,750.0,160.0
108,2,679812,1196965,53.0,10.0,240.0,360.0,0.0,750.0,160.0
109,2,670836,1196061,46.0,10.0,240.0,360.0,0.0,750.0,160.0
110,2,672768,1196289,44.0,10.0,240.0,360.0,0.0,750.0,160.0
111,2,677735,1197962,41.0,10.0,240.0,360.0,0.0,750.0,160.0
112,2,676455,1198292,40.0,10.0,240.0,360.0,0.0,750.0,160.0
113,2,674919,1198971,50.0,10.0,240.0,360.0,0.0,750.0,160.0
114,2,675871,1197752,43.0,10.0,240.0,360.0,0.0,750.0,160.0
115,3,677330,1196522,40.0,8.0,360.0,660.0,780.0,750.0,160.0
