ID,Type,X,Y,Demand,Service Time,Early,Latest,Deadline,FE Cap,SE Cap
0,0,695822,9773,0.0,0.0,0.0,0.0,0.0,750.0,160.0
1,1,690181,15939,0.0,15.0,0.0,0.0,0.0,750.0,160.0
2,1,690888,6681,0.0,15.0,0.0,0.0,0.0,750.0,160.0
3,1,691153,13865,0.0,15.0,0.0,0.0,0.0,750.0,160.0
4,1,692371,10629,0.0,15.0,0.0,0.0,0.0,750.0,160.0
5,1,695822,9773,0.0,15.0,0.0,0.0,0.0,750.0,160.0
6,1,695164,7822,0.0,15.0,0.0,0.0,0.0,750.0,160.0
16,3,694131,10894,5.0,5.0,300.0,420.0,780.0,750.0,160.0
18,3,692230,14166,1.0,5.0,60.0,180.0,900.0,750.0,160.0
22,3,695037,10832,5.0,5.0,60.0,180.0,540.0,750.0,160.0
27,3,694651,14945,4.0,5.0,540.0,660.0,780.0,750.0,160.0
31,3,694814,10880,6.0,5.0,120.0,420.0,780.0,750.0,160.0
40,3,695884,13257,1.0,5.0,60.0,180.0,540.0,750.0,160.0
74,3,689760,12297,2.0,5.0,60.0,180.0,780.0,750.0,160.0
76,3,693062,11782,1.0,5.0,540.0,660.0,900.0,750.0,160.0
77,3,693062,11782,1.0,5.0,540.0,660.0,900.0,750.0,160.0
82,3,693062,11782,1.0,5.0,540.0,660.0,900.0,750.0,160.0
84,3,693062,11782,1.0,5.0,540.0,660.0,900.0,750.0,160.0
85,3,695533,13171,5.0,5.0,60.0,180.0,780.0,750.0,160.0
88,3,695185,11329,1.0,5.0,60.0,180.0,540.0,750.0,160.0
89,3,693804,10770,5.0,5.0,180.0,300.0,540.0,750.0,160.0
90,3,693918,11489,5.0,5.0,60.0,180.0,540.0,750.0,160.0
99,3,692541,12456,1.0,5.0,60.0,180.0,540.0,750.0,160.0
100,3,692541,12456,1.0,5.0,60.0,180.0,540.0,750.0,160.0
101,3,692541,12456,1.0,5.0,60.0,180.0,540.0,750.0,160.0
102,3,692541,12456,1.0,5.0,60.0,180.0,540.0,750.0,160.0
121,3,695834,13031,5.0,5.0,60.0,180.0,540.0,750.0,160.0
173,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
176,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
182,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
183,3,694950,11177,2.0,5.0,180.0,300.0,780.0,750.0,160.0
184,3,692623,12107,1.0,5.0,540.0,660.0,900.0,750.0,160.0
185,3,696616,13456,1.0,5.0,60.0,180.0,420.0,750.0,160.0
188,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
193,3,690148,12669,5.0,5.0,60.0,180.0,540.0,750.0,160.0
196,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
199,3,692421,11398,5.0,5.0,60.0,180.0,540.0,750.0,160.0
200,3,692426,10546,1.0,5.0,60.0,180.0,540.0,750.0,160.0
201,3,696132,12879,1.0,5.0,60.0,180.0,780.0,750.0,160.0
202,3,694482,12175,1.0,5.0,60.0,180.0,540.0,750.0,160.0
208,3,689718,12380,3.0,5.0,60.0,180.0,540.0,750.0,160.0
214,3,691993,13418,1.0,5.0,60.0,180.0,540.0,750.0,160.0
215,3,695160,14255,1.0,5.0,60.0,180.0,780.0,750.0,160.0
217,3,692379,12003,1.0,5.0,540.0,660.0,900.0,750.0,160.0
223,3,692987,13828,3.0,5.0,60.0,180.0,420.0,750.0,160.0
226,3,695884,13257,1.0,5.0,60.0,180.0,540.0,750.0,160.0
227,3,695801,13238,5.0,5.0,60.0,180.0,780.0,750.0,160.0
229,3,690999,12455,1.0,5.0,180.0,300.0,540.0,750.0,160.0
231,3,695414,13562,5.0,5.0,120.0,420.0,900.0,750.0,160.0
233,3,693064,12481,1.0,5.0,180.0,300.0,540.0,750.0,160.0
234,3,694230,14223,4.0,5.0,180.0,300.0,420.0,750.0,160.0
235,3,694215,15063,1.0,5.0,420.0,540.0,780.0,750.0,160.0
236,3,695061,12554,2.0,5.0,60.0,180.0,420.0,750.0,160.0
237,3,694215,15063,2.0,5.0,420.0,540.0,780.0,750.0,160.0
238,3,694215,15063,2.0,5.0,420.0,540.0,780.0,750.0,160.0
239,3,695061,12554,5.0,5.0,60.0,180.0,420.0,750.0,160.0
242,3,695061,12554,1.0,5.0,60.0,180.0,420.0,750.0,160.0
249,3,694653,11652,1.0,5.0,60.0,180.0,540.0,750.0,160.0
251,3,693076,14832,2.0,5.0,60.0,180.0,540.0,750.0,160.0
253,3,691503,11072,1.0,5.0,540.0,660.0,780.0,750.0,160.0
261,3,691107,12714,2.0,5.0,180.0,300.0,420.0,750.0,160.0
265,3,693736,10471,1.0,5.0,420.0,540.0,780.0,750.0,160.0
267,3,693334,12962,1.0,5.0,60.0,180.0,540.0,750.0,160.0
269,3,695733,11427,5.0,5.0,60.0,180.0,540.0,750.0,160.0
